N	245
n	50
 # aio
p	3
#b	500	# aio
#e 	.4	 #
	t 3600
 T 3760 # 	
R 20 #	400
#s 12345
y 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1
x 3729 2128 1452
16463 1915 7294
1755 565 688
2210 828 934
7418 623 3273
514 745 202
621 922 258
679 994 304
353 1282 147
1127 995 470
330 627 144
105 749 41
2133 964 932
489 802 220
484 1644 195
108 273 53
2066 658 794
168 3358 88
2646 825 1072
487 6296 214
68 2196 32
81 307 35
506 1152 157
423 1286 187
44 3027 21
25 126 8
267 738 125
79 651 40
291 619 129
1172 8030 503
43 281 22
845 7609 364
218 1029 99
136 595 57
320 1042 151
282 1073 117
1593 9437 700
98 1061 48
72 7523 37
1058 644 496
42 318 21
40 330 18
45 396 22
83 668 44
378 392 166
403 5777 185
158 1452 70
1548 372 614
885 1948 380
272 665 94
168 1190 43
353 3904 148
723 589 284
397 1685 166
1057 7520 433
55 1458 28
74 636 38
4984 497 2472
71 299 31
48 505 21
143 1060 63
203 4856 84
484 384 241
1833 1779 862
111 320 46
646 548 269
703 233 307
22 773 11
1120 1703 436
100 2573 37
254 314 127
1098 1868 467
3878 703 1652
35 1108 19
39 1132 21
915 2405 395
1098 5811 450
14561 1929 6730
254 907 107
5907 953 2545
1499 723 677
181 1214 84
6428 585 3080
57 861 26
2676 60 1448
866 195 399
92 1674 54
362 387 160
659 502 343
641 553 278
123 320 59
86 3752 38
661 289 274
2295 369 992
65 4078 35
887 300 375
616 1199 277
304 2388 147
322 2986 147
3655 249 1588
401 128 159
267 258 115
969 850 411
422 656 188
290 378 137
1559 266 613
1196 187 441
540 248 233
296 349 138
1504 305 635
512 418 212
711 181 348
93 421 41
348 153 139
4782 227 2079
255 575 126
454 404 205
596 396 266
1317 76 528
1797 452 639
538 551 221
596 453 237
1825 130 806
512 106 195
100 46 44
681 475 298
3495 284 1497
65 273 31
100 528 55
209 86 87
1594 206 662
138 215 58
865 438 372
112 69 45
1219 106 497
521 287 211
1288 249 536
88 245 40
207 343 108
1328 122 576
366 63 145
1022 69 402
69 100 29
1564 186 632
496 537 182
697 347 286
26560 1170 13420
1359 109 553
1045 238 414
562 100 268
5558 73 2685
1102 464 500
1501 168 740
938 1021 367
215 513 100
2092 314 810
784 336 352
754 280 344
141 363 57
736 157 322
352 91 137
716 431 315
1158 207 462
570 57 232
3694 89 1762
1162 162 511
1478 620 594
769 41 373
1348 158 586
7354 223 3211
1040 304 438
1415 1335 581
126 69 49
673 553 281
1179 842 473
2061 74 862
604 287 265
390 871 166
1600 1106 646
1557 85 618
1424 309 589
2704 524 1036
496 319 197
558 1134 245
363 151 172
1575 139 671
208 367 90
250 191 129
6284 118 3026
467 220 184
1010 279 409
3415 257 1519
501 88 209
183 344 74
173 569 75
343 390 147
758 178 299
61 99 29
1728 805 675
7720 533 3774
2538 246 1074
827 149 360
1408 202 571
6146 673 2794
293 746 137
92 241 38
4105 229 1661
700 275 270
206 839 101
2369 518 941
1353 231 558
2292 597 924
238 168 108
487 498 198
3627 615 1447
393 158 158
2758 162 1169
5795 5913 2369
2159 2122 797
587 1723 255
491 1839 190
1461 3150 549
941 1899 352
372 1094 161
493 811 191
306 8151 114
71 2204 35
88 1297 34
50 1044 19
58 4327 30
468 5520 203
58 2007 28
497 1477 201
96 957 35
45 6080 21
202 1316 81
798 1924 272
32 661 19
171 1375 68
850 2385 314
73 1064 34
336 703 141
171 5422 64
104 3837 40
254 3279 111
